objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language ,rights
news_001,Newsletter85.pdf,Newsletter 85:Keith's Corner-McGill News,Keith Gibson,2021-01-01,"A tragic fire occurred on Christmas Day 2020. A truck caught fire and was destroyed, as was part of the McGill Club. The damage to the McGIll Club was primarily due to the water used by the firemen to douse the blaze. More details to follow.",Holidays;Tragedies;Firemen,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_002,Newsletter86.pdf,Newsletter 86:Keith's Corner-McGill News,Keith Gibson,2021-01-08,The truck fire cleanup continues. Contents of the truck included plastic bags for a chain restaurant. ,Tragedies,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_003,Newsletter87.pdf,Newsletter 87:Keith's Corner-McGill News,Keith Gibson,2021-01-15,Keith's talks about the history of the McGill Club (formerly the American Trading Co. circa 1906-1908.) Post-fire repair work begins on the McGill Club. Historic images of the 1911 brick-lined converter are included,Converters;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_004,Newsletter88.pdf,Newsletter 88:Keith's Corner-McGill News,Keith Gibson,2021-01-22,Several vintage images of the McGill Grade School (with students) are included. Present-day McGill experiences a quiet week.,Schools;Sports;Football,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_005,Newsletter89.pdf,Newsletter 89:Keith's Corner-McGill News,Keith Gibson,2021-01-29,Keith explores images of early McGill Ranch. Present-day McGill experiences a mild winter so far.,Smelters;Housing;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_006,Newsletter90.pdf,Newsletter 90:Keith's Corner-McGill News,Keith Gibson,2021-02-05,Fun memories of McGill's Sheriff's Deputies during Keith's youth. Present-day McGill is quiet.,People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_007,Newsletter91.pdf,Newsletter 91:Keith's Corner-McGill News,Keith Gibson,2021-01-12,"Vintage images of the McGill Club/Cypress Hall. The building started out as a single-story, with the Cypress Hall being added as the second story in 1920. Many parties were held at the building until fire codes became to stringent. ",Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_008,Newsletter92.pdf,Newsletter 92:Keith's Corner-McGill News,Keith Gibson,2021-01-19,Keith recalls the tragic story of Sheriff Cliff Drietzler in the early 1940's. Cliff was murdered while on duty and a multi-state manhunt ensued. The suspect was captured and the trial began in McGill. Part II next week.,People;Tragedies,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_009,Newsletter93.pdf,Newsletter 93:Keith's Corner-McGill News,Keith Gibson,2021-01-26,"Murder suspect Kenneth Shepley went on trial for the murder of Deputy Cliff Drietzler. After a trial, Shepley was convicted of 2nd degree murder and 2 counts of grand larceny. He was sentenced to life in prison but was paroled in 1957. He then went to prison for the larceny charges.",People;Tragedies,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_010,Newsletter94.pdf,Newsletter 94:Keith's Corner-McGill News,Keith Gibson,2021-03-05,Fishing was a fun and useful skill taught to McGill children. Keith remembers how he and other young McGill kids learned the basics of creek fishing in the 1930's - 1940's. Keith recalls some fun stories of fishing with friends from the past. Present-day McGill may get a new business!,Businesses;Fishing,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_011,Newsletter95.pdf,Newsletter 95:Keith's Corner-McGill News,Keith Gibson,2021-03-12,"The story of McGill resident Charles Overfelt and his experiences during WWII. Overfelt was tasked with guarding Japanese war criminal Hideki Tojo, who was eventually hanged for his part in planning the attack on Pearl Harbor. Present-day McGill remains quiet.",WWII;People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_012,Newsletter96.pdf,Newsletter 96:Keith's Corner-McGill News,Keith Gibson,2021-03-19,"Keith includes many vintage photos of Main Street buildings and attempts to date them. A vintage image of tar paper shacks is included, circa 1905-1906.",Main Street;Businesses;Housing,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_013,Newsletter97.pdf,Newsletter 97:Keith's Corner-McGill News,Keith Gibson,2021-03-26,"The Copper Club bar opened in 1908, replacing the tent structure that stood before the concrete building. The building is now the McGill Post Office. This newsletter contains much information about the history of this structure. ",Businesses;Main Street,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_014,Newsletter98.pdf,Newsletter 98:Keith's Corner-McGill News,Keith Gibson,2021-04-02,"Memorial Day 1911 spurs memories of bands, patriotism, picnics and all-around fun! Modern-day McGill receives the good news that the gas station has been purchased by a new owner. ",Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_015,Newsletter99.pdf,Newsletter 99:Keith's Corner-McGill News,Keith Gibson,2021-04-09,Keith dates Main Street buildings and the gas station. Modern-day McGill gets an influx of tourists visiting the Drug Store.,Main Street;Gas Stations,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_016,Newsletter100.pdf,Newsletter 100:Keith's Corner-McGill News,Keith Gibson,2021-04-16,"A McGill resident presents Keith with a town drawing from the early 1900s. The document confirms the presence of the London Pool Hall and the Greek Coffee House. Modern-day McGill is quiet as the new gas station acquires their food permit. Included is an image of the overflow ditch from the springs in the swimming pool/dairy area, circa 1908 or 1909.",Main Street;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_017,Newsletter101.pdf,Newsletter 101:Keith's Corner-McGill News,Keith Gibson,2021-04-23,"Keith recalls his first day of school from 1941. During this first year, the attack on Pearl Harbor took place and many McGill residents enlisted in the military to aid in the war effort. Japanese-American families were taken away and never seen again. Keith includes a photo of his adorable great-grandson!",Schools;People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_018,Newsletter102.pdf,Newsletter 102:Keith's Corner-McGill News,Keith Gibson,2021-04-30,Keith discusses the donation of the McGill Drug Store (by the Culbert family) to the White Pine County Museum Board. Visitors from all walks of life visit the drugstore. Modern-day McGill sees the opening of the new Pony Express gas station!,Drug Stores;Gas Stations,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_019,Newsletter103.pdf,Newsletter 103:Keith's Corner-McGill News,Keith Gibson,2021-05-07,The Pony Express convenience store and gas station opens for business! The McGill town council is on hand to celebrate the opening. Work continues on the theater and the IOOF Hall. Vintage photos of the Stone Amusement Hall (which occupied the spot the current Pony Express is on) are included.,Gas Stations;People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_020,Newsletter104.pdf,Newsletter 104:Keith's Corner-McGill News,Keith Gibson,2021-05-14,"The McGill baseball field undergoes a revamp. A new field, playground and restrooms were added. The theater also undergoes a facelift as the brick is power-washed and shines like new!",Sports;Baseball,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_021,Newsletter105.pdf,Newsletter 105:Keith's Corner-McGill News,Keith Gibson,2021-05-21,"Keith shares the story the the 1919-1920 McGill Club fire that was (most likely) the result of a un-snuffed cigarette during the New Year's Eve party. Included is an image of the 1920 fire engine used to douse the blaze. While the all-volunteer firemen were unable to put out the fire, they did save the Post Office on the north side of the street. The McGill Club was rebuilt and still stands today.",Tragedies;Main Street;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_022,Newsletter106.pdf,Newsletter 106:Keith's Corner-McGill News,Keith Gibson,2021-05-28,Keith attempts to identify the location of the original (about 1910) McGill ballpark. Present-day McGill experiences a snowfall. The theater gets a power-wash.,Sports;Baseball;Housing,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
